land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,wall_fence,room_size,property_value
201,177,3,1,0,1,1,0,1,0,165432
196,182,4,3,1,1,0,1,1,1,187043
198,182,4,4,1,1,0,1,0,1,148658
178,166,2,3,0,1,0,0,0,0,123785
183,165,3,1,1,1,0,0,1,0,156470
399,377,6,5,1,1,1,1,1,0,306596
337,334,5,3,1,0,1,1,1,0,283236
110,94,1,2,0,0,0,0,1,0,76026
170,159,3,4,1,0,1,0,0,1,121398
128,116,1,2,0,0,1,0,0,1,105593
220,189,3,1,0,0,0,0,0,1,149798
350,330,5,3,1,1,1,1,1,0,294321
296,258,4,2,1,1,0,1,1,0,240550
209,184,3,3,1,1,0,0,1,0,163884
207,187,3,3,1,1,0,0,0,1,156310
177,154,3,3,1,1,0,1,1,1,160441
291,283,4,3,1,1,0,1,0,0,215767
242,211,5,2,1,1,1,1,1,1,223955
132,129,1,2,0,0,0,0,0,1,99461
277,247,4,5,1,1,1,1,0,0,220432
172,164,3,4,1,1,0,0,1,0,148221
203,192,4,4,0,1,1,1,1,1,181712
181,156,3,1,1,1,0,1,0,1,149638
227,207,4,3,0,1,1,1,0,1,177378
321,306,5,2,1,1,1,1,1,1,264197
484,462,7,5,1,1,1,1,1,2,387376
170,148,3,3,1,0,1,0,0,1,118435
190,178,2,2,0,1,0,0,0,1,145854
302,300,5,4,1,0,1,1,1,0,254455
117,115,1,1,0,0,0,0,0,1,77871
260,224,4,3,1,1,0,1,1,0,221912
271,266,5,2,1,1,1,1,1,1,244207
151,135,3,2,0,1,0,1,0,1,125534
533,519,7,8,1,1,1,1,1,0,423665
103,93,1,1,0,0,0,0,1,1,79728
173,168,2,3,1,0,0,1,0,0,140451
212,192,3,1,1,0,0,0,1,0,156980
228,204,3,4,0,0,1,0,1,1,187637
283,269,5,3,0,1,1,1,1,0,236224
240,217,3,1,1,0,0,0,0,1,162263
239,205,3,4,0,1,1,0,0,0,180367
362,340,6,7,1,1,1,1,0,1,290303
357,343,5,3,1,1,0,1,1,0,305001
177,168,2,2,0,1,0,0,0,2,143831
145,143,1,2,1,0,0,0,0,0,103222
189,162,3,4,0,1,0,1,1,1,187392
126,118,2,2,0,1,0,0,0,0,87038
353,350,5,5,1,1,1,1,1,0,294390
245,213,5,3,1,1,1,1,1,0,226855
297,257,5,5,1,1,1,0,1,0,240581
214,183,4,3,0,1,0,0,1,1,171338
238,224,4,4,0,1,1,1,1,1,220779
178,161,2,2,0,0,0,0,0,1,121390
323,282,5,4,1,1,0,1,0,1,241221
152,142,2,3,0,0,0,0,0,2,106896
149,140,2,3,0,1,0,0,0,0,119377
238,205,3,2,0,1,0,1,1,1,194009
236,215,4,3,0,1,1,1,1,0,205527
256,233,5,5,1,1,1,1,1,1,238334
297,294,5,2,1,1,1,1,1,1,254727
475,451,7,6,1,1,1,1,1,3,369207
132,128,2,2,0,0,0,1,0,1,109392
170,150,3,1,0,1,1,0,1,1,141169
216,195,3,2,1,1,0,0,1,1,163696
526,467,8,6,1,1,1,1,1,2,430611
222,221,3,4,1,0,1,0,0,0,156379
260,260,4,2,1,1,1,1,1,1,233275
241,232,4,5,0,1,1,1,1,0,196305
287,282,4,3,1,0,1,1,1,0,233007
121,103,2,3,1,1,0,1,0,1,115686
143,139,1,1,0,0,0,0,0,0,86727
280,245,4,5,1,1,1,1,1,0,259502
632,567,8,6,1,1,1,1,1,2,527472
115,98,1,2,1,0,0,0,0,0,76899
205,175,3,3,1,0,1,0,0,1,187897
193,192,4,2,1,1,0,1,1,0,183566
231,215,5,3,1,1,1,1,1,1,198919
321,314,5,5,1,1,1,1,0,1,251935
331,308,5,3,1,1,1,0,1,0,261937
427,371,6,5,1,1,1,1,1,1,337540
162,145,3,4,0,1,0,0,1,1,131810
466,419,6,6,1,1,1,1,1,1,390138
206,187,4,3,1,1,1,1,1,0,181708
207,189,4,5,0,1,1,1,1,1,218009
201,181,3,2,0,1,1,0,0,0,158468
383,359,6,5,1,1,1,1,1,0,300328
134,131,1,2,1,0,0,0,0,0,89398
173,148,2,2,0,0,0,0,0,0,103859
155,139,3,1,0,1,0,0,1,1,110155
256,234,4,5,1,1,1,1,1,1,224335
317,299,6,7,1,1,1,1,0,1,253088
240,239,4,5,1,1,1,1,0,1,193711
260,235,4,4,1,1,1,1,1,1,229133
